Dataset: cifar100
100%|███████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 48.6MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  4%|██▉                                                                    | 2/48 [00:05<02:00,  2.62s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
[GPU 0] Training epoch 41...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 42...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 43...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 44...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 45...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 46...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 47...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 48...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 49...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 50...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_50.pth at epoch 50
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_50.pth at epoch 50
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_50.pth at epoch 50
Saved all models at epoch 50
DCL Loss per epoch: 1.9690250729521115
NSCL Loss per epoch: 1.9039083421230316
SCL Loss per epoch: 5.821552733580272

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.53it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.19it/s]
Evaluation accuracies: [0.3813000023365021]
CDNV: 2.4540414810180664, Dir-CDNV: 0.11291806399822235
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.19it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.37it/s]
Evaluation accuracies: [0.3974999785423279]
CDNV: 2.3008038997650146, Dir-CDNV: 0.11183596402406693
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.26it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.10it/s]
Evaluation accuracies: [0.6026999950408936]
CDNV: 1.3853185176849365, Dir-CDNV: 0.081325963139534

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 184.21it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 189.62it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0051 with p-value: 2.8327e-287
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 187.71it/s]

RSA (Pearson) Correlation between DCL and scl features: -0.0000 with p-value: 8.2391e-01

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0034
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0041

--- CKA Computation Complete ---
[GPU 0] Training epoch 51...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [00:59<00:00,  1.25s/it]
[GPU 0] Training epoch 52...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 53...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 54...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 55...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 56...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 57...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 58...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 59...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 60...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_60.pth at epoch 60
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_60.pth at epoch 60
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_60.pth at epoch 60
Saved all models at epoch 60
DCL Loss per epoch: 1.8901165972153346
NSCL Loss per epoch: 1.820588618516922
SCL Loss per epoch: 5.603951632976532

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  4.90it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  4.83it/s]
Evaluation accuracies: [0.3944000005722046]
CDNV: 2.4073355197906494, Dir-CDNV: 0.1078881248831749
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.40it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.27it/s]
Evaluation accuracies: [0.41439998149871826]
CDNV: 2.158365249633789, Dir-CDNV: 0.10482153296470642
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.20it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.12it/s]
Evaluation accuracies: [0.6297000050544739]
CDNV: 1.2843685150146484, Dir-CDNV: 0.0810280293226242

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 184.35it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 188.71it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0079 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 187.55it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0030 with p-value: 1.5692e-100

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0035
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0040

--- CKA Computation Complete ---
[GPU 0] Training epoch 61...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 62...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 63...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 64...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 65...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 66...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 67...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 68...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 69...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 70...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_70.pth at epoch 70
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_70.pth at epoch 70
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_70.pth at epoch 70
Saved all models at epoch 70
DCL Loss per epoch: 1.8319150408109028
NSCL Loss per epoch: 1.767151765525341
SCL Loss per epoch: 5.444369773070018

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.38it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  4.66it/s]
Evaluation accuracies: [0.4050999879837036]
CDNV: 2.3826780319213867, Dir-CDNV: 0.10579374432563782
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.43it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.15it/s]
Evaluation accuracies: [0.4253999888896942]
CDNV: 2.1108665466308594, Dir-CDNV: 0.1027086153626442
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.27it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.09it/s]
Evaluation accuracies: [0.6399999856948853]
CDNV: 1.2478835582733154, Dir-CDNV: 0.09343310445547104

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 187.31it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 194.91it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0110 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 155.92it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0075 with p-value: 0.0000e+00

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0037
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0032

--- CKA Computation Complete ---
[GPU 0] Training epoch 71...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 72...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 73...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 74...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 75...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 76...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 77...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 78...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 79...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 80...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_80.pth at epoch 80
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_80.pth at epoch 80
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_80.pth at epoch 80
Saved all models at epoch 80
DCL Loss per epoch: 1.7827132220069568
NSCL Loss per epoch: 1.7101903309424717
SCL Loss per epoch: 5.298225541909535

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.55it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.18it/s]
Evaluation accuracies: [0.4115999937057495]
CDNV: 2.3731162548065186, Dir-CDNV: 0.10343100875616074
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.32it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.14it/s]
Evaluation accuracies: [0.4389999806880951]
CDNV: 2.0638694763183594, Dir-CDNV: 0.0993175283074379
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.24it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.13it/s]
Evaluation accuracies: [0.6520999670028687]
CDNV: 1.2002609968185425, Dir-CDNV: 0.09634324163198471

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 188.30it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 195.66it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0123 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 192.36it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0087 with p-value: 0.0000e+00

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0039
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0030

--- CKA Computation Complete ---
[GPU 0] Training epoch 81...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 82...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 83...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 84...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 85...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 86...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 87...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 88...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 89...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 90...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_90.pth at epoch 90
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_90.pth at epoch 90
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_90.pth at epoch 90
Saved all models at epoch 90
DCL Loss per epoch: 1.7365622147917747
NSCL Loss per epoch: 1.6623238697648048
SCL Loss per epoch: 5.155133843421936

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.47it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.21it/s]
Evaluation accuracies: [0.42289999127388]
CDNV: 2.2716622352600098, Dir-CDNV: 0.0979650691151619
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.40it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.18it/s]
Evaluation accuracies: [0.45799997448921204]
CDNV: 1.9940245151519775, Dir-CDNV: 0.0972660630941391
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.16it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.06it/s]
Evaluation accuracies: [0.6577999591827393]
CDNV: 1.1805665493011475, Dir-CDNV: 0.10041044652462006

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 191.21it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 195.37it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0127 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 194.63it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0055 with p-value: 0.0000e+00

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0040
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0029

--- CKA Computation Complete ---
[GPU 0] Training epoch 91...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 92...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 93...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 94...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 95...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 96...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 97...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 98...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 99...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 100...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_100.pth at epoch 100
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_100.pth at epoch 100
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_100.pth at epoch 100
Saved all models at epoch 100
DCL Loss per epoch: 1.696386809150378
NSCL Loss per epoch: 1.6185434361298878
SCL Loss per epoch: 5.059831599394481

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.33it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  4.88it/s]
Evaluation accuracies: [0.42419999837875366]
CDNV: 2.3203721046447754, Dir-CDNV: 0.10025303810834885
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.28it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.14it/s]
Evaluation accuracies: [0.4537999927997589]
CDNV: 2.048456907272339, Dir-CDNV: 0.10146705061197281
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.25it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.15it/s]
Evaluation accuracies: [0.6656999588012695]
CDNV: 1.233699917793274, Dir-CDNV: 0.10792133957147598

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 188.88it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 195.06it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0086 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 193.99it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0069 with p-value: 0.0000e+00

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0042
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0024

--- CKA Computation Complete ---
[GPU 0] Training epoch 101...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 102...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 103...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 104...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 105...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 106...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 107...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 108...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 109...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 110...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
DCL Loss per epoch: 1.6631591295202572
NSCL Loss per epoch: 1.5836284632484119
SCL Loss per epoch: 4.942448258399963

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.42it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.21it/s]
Evaluation accuracies: [0.44599997997283936]
CDNV: 2.194545030593872, Dir-CDNV: 0.0913032814860344
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.22it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.13it/s]
Evaluation accuracies: [0.4737999737262726]
CDNV: 1.907846450805664, Dir-CDNV: 0.09117460250854492
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.19it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.14it/s]
Evaluation accuracies: [0.6681999564170837]
CDNV: 1.2147778272628784, Dir-CDNV: 0.11741309612989426

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 178.21it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 186.16it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0085 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 183.33it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0028 with p-value: 2.0403e-87

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0043
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0019

--- CKA Computation Complete ---
[GPU 0] Training epoch 111...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 112...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 113...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 114...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 115...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 116...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 117...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 118...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 119...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 120...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
DCL Loss per epoch: 1.6380506133039792
NSCL Loss per epoch: 1.5627907017866771
SCL Loss per epoch: 4.883010317881902

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  4.72it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  4.71it/s]
Evaluation accuracies: [0.4465000033378601]
CDNV: 2.188314437866211, Dir-CDNV: 0.0955067053437233
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.22it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.22it/s]
Evaluation accuracies: [0.4819999933242798]
CDNV: 1.8322474956512451, Dir-CDNV: 0.09526453167200089
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.16it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.23it/s]
Evaluation accuracies: [0.6791999936103821]
CDNV: 1.212988018989563, Dir-CDNV: 0.11445242911577225

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 176.08it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 188.38it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0091 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 155.84it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0082 with p-value: 0.0000e+00

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0042
Computing CKA for scl...

